fulcrum_id,created_at,updated_at,created_by,updated_by,system_created_at,system_updated_at,version,status,project,assigned_to,latitude,longitude,geometry,date_of_survey,type_of_disaster,photos,photos_caption,photos_url,audio,audio_caption,audio_url,general_notes,assessment_type,assessment_type_other,building_address_sub_thoroughfare,building_address_thoroughfare,building_address_suite,building_address_locality,building_address_sub_admin_area,building_address_admin_area,building_address_postal_code,building_address_country,building_address_full,number_of_stories,year_built,attached_garage,building_use,building_use_other,roof_shape,roof_shape_other,roof_extent,roof_extent_other,roof_system,roof_system_other,roof_cover,roof_cover_other,primary_structural_wall_system,primary_structural_wall_system_other,building_envelope,building_envelope_other,other_details,elevated_living_space,elevation_height,windows_protected,pct_of_structure_visible,damage_source,damage_source_other,exterior_damage_rating,interior_damage,high_water_mark_above_grade_m,structure_usable,roof,structural_system,envelope,windows,entry_door_damage,garage_door_damage,patiofrench_door_damage,damage_notes,type_pi,material,material_other,diameterwidth_m,heightlength_m,damage_source_power,damage_source_power_other,damage_type_power_infra,damage_type_power_infra_other,bridge_use,material_bridge,material_bridge_other,length_or_span_bridge,lanes_bridge,damage_source_bridge,damage_source_bridge_other,damage_state_bridge,functional,material_dam,material_dam_other,length_or_span_dam,height_m_dam,thickness_dam,damage_state_dam,damage_source_dam,damage_source_dam_other,damage_type_geo,damage_type_geo_other,depth_geo,width_geo,hazard_type,hazard_type_other,hazard_units,hazard_units_other,hazard_intensity,qc_id,qc_code,qc_notes,gps_altitude,gps_horizontal_accuracy,gps_vertical_accuracy,gps_speed,gps_course
00c11e73-30e5-464d-b4fa-c098ab3edd80,2019-10-15 23:04:20 UTC,2019-10-15 23:04:20 UTC,joe@fulcrumapp.com,joe@fulcrumapp.com,2019-10-15 23:04:20 UTC,2019-10-15 23:04:20 UTC,1,4,"","",18.266611,-66.274445,POINT (-66.274445 18.266611),2017-11-17,Hurricane,"30d8a56c-f9eb-4d38-91c2-e41da8bed7c4,359a2227-18ad-4747-87a8-4035be509fbd,6e577824-0d4a-4588-b06c-3b5aec911cbd,721f16b0-e4f3-40c9-9d39-be5c0fef9ce1,eaa87449-8b88-4f30-a144-d620a367e56a,e7287d10-9ca3-49a4-883b-4554048a81a7",",,,,,",https://web.fulcrumapp.com/shares/8d464ae2215260fd/photos/view?photos=30d8a56c-f9eb-4d38-91c2-e41da8bed7c4%2C359a2227-18ad-4747-87a8-4035be509fbd%2C6e577824-0d4a-4588-b06c-3b5aec911cbd%2C721f16b0-e4f3-40c9-9d39-be5c0fef9ce1%2Ceaa87449-8b88-4f30-a144-d620a367e56a%2Ce7287d10-9ca3-49a4-883b-4554048a81a7,"","","","",Building,"","","","","","","","","","",1,"",0,Single-Family (Custom),"",Unknown,"",Unknown,"",Unknown,"",Corrugated metal,"",Load Bearing Masonry (unknown),"",N/A,"","",0,"",0,"","Landslide,Wind","",4,3,"",0,100%,100%,100%,100%,1,-1,-1,n/a,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",SMP,2a,"Location adjusted
Aerial photos not available
Building characteristics
Assigned building material
Damage levels","","","","",""
ec8ff3c5-f6e8-4ca4-8526-4dc5e44449e2,2019-10-15 23:04:21 UTC,2019-10-15 23:04:21 UTC,joe@fulcrumapp.com,joe@fulcrumapp.com,2019-10-15 23:04:21 UTC,2019-10-15 23:04:21 UTC,1,3,"","",18.224241,-66.231487,POINT (-66.231487 18.224241),2017-11-17,Hurricane,"12fd58fe-fdeb-4639-bff1-45c08572ddc7,2e79ccc4-8b84-471d-9642-db8b7ed7453f,97fab356-b399-4a8f-8788-45639b518b39",",,",https://web.fulcrumapp.com/shares/8d464ae2215260fd/photos/view?photos=12fd58fe-fdeb-4639-bff1-45c08572ddc7%2C2e79ccc4-8b84-471d-9642-db8b7ed7453f%2C97fab356-b399-4a8f-8788-45639b518b39,"","","","",Building,"","","","","","","","","","",1,"",0,Single-Family (Informal),"",Gable,"",Overhang (< 1m),"",Wood rafter and purlins,"",Corrugated metal,"",Wood Frame,"",Wood sheathing,"","",0,"",0,"",Wind,"",3,9,"",0,100%,0%,40%,0%,0,-1,-1,n/a,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",SMP,2a,"Location adjusted
Aerial photo added (before-after)
Building characteristics
Assigned building material
Damage levels 
Damage Rating","","","","",""
1d86f6da-ed7f-47dc-80ce-dcb539fcb37a,2019-10-15 23:04:21 UTC,2019-10-15 23:04:21 UTC,joe@fulcrumapp.com,joe@fulcrumapp.com,2019-10-15 23:04:21 UTC,2019-10-15 23:04:21 UTC,1,3,"","",18.224883,-66.232042,POINT (-66.232042 18.224883),2017-11-17,Hurricane,"ab6bb439-0c9f-435a-8106-4ce03bc4c690,e6c73ba3-aeea-440c-a137-b6822255bacc",",",https://web.fulcrumapp.com/shares/8d464ae2215260fd/photos/view?photos=ab6bb439-0c9f-435a-8106-4ce03bc4c690%2Ce6c73ba3-aeea-440c-a137-b6822255bacc,"","","","",Building,"","","","","","","","","","",2,"",0,Single-Family (Informal),"",Flat,"",No overhang,"",Wood rafter and purlins,"",Corrugated metal,"",Wood Frame,"",Wood sheathing,"","",1,"",0,"",Wind,"",3,9,"",0,80%,0%,20%,0%,0,-1,-1,n/a,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",SMP,0,"Location adjusted
Aerial photo added (before-after)
Building characteristics
Assigned building material
Damage levels 
Damage Rating ","","","","",""
31feebc8-dfdc-446f-a520-6e5599755c14,2019-10-15 23:04:22 UTC,2019-10-15 23:04:22 UTC,joe@fulcrumapp.com,joe@fulcrumapp.com,2019-10-15 23:04:22 UTC,2019-10-15 23:04:22 UTC,1,4,"","",18.231784,-66.257577,POINT (-66.257577 18.231784),2017-11-17,Hurricane,"e5a2942f-30f2-454a-94f3-f3a09b6df663,1e06b528-5fdb-437a-9132-1d6c9e38039a,abb18839-6961-4bf4-a015-940b0d139ea5,591a130e-85d2-4ec8-8aad-df8fdf56cf4d,6ff9199d-7f5b-45a6-b9d2-01701bda8249,2296490c-7999-4740-ac52-bbd03e3e0893",",,,,,",https://web.fulcrumapp.com/shares/8d464ae2215260fd/photos/view?photos=e5a2942f-30f2-454a-94f3-f3a09b6df663%2C1e06b528-5fdb-437a-9132-1d6c9e38039a%2Cabb18839-6961-4bf4-a015-940b0d139ea5%2C591a130e-85d2-4ec8-8aad-df8fdf56cf4d%2C6ff9199d-7f5b-45a6-b9d2-01701bda8249%2C2296490c-7999-4740-ac52-bbd03e3e0893,"","","","",Building,"","","","","","","","","","",1,"",0,Sport - basketball court,"",Arched,"",No overhang,"",Metal joists,"",Corrugated metal,"",RC MRF with infill,"",CMU infill,"","",0,"",0,"",Wind,"",4,9,"",0,20%,30%,20%,0%,-1,-1,-1,n/a,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",SMP,2a,"Location adjusted
Aerial photo added (before-after)
Building characteristics
Assigned building material
Damage levels 
Damage Rating 
","","","","",""
e5b020eb-2fd3-4694-9a60-e93a77a1db53,2019-10-15 23:04:23 UTC,2019-10-15 23:04:23 UTC,joe@fulcrumapp.com,joe@fulcrumapp.com,2019-10-15 23:04:23 UTC,2019-10-15 23:04:23 UTC,1,4,"","",18.2667934363,-66.2744728848,POINT (-66.2744728848 18.2667934363),2017-11-17,Hurricane,"cce00aec-4345-4cd6-a506-847a19ee64fb,a52e533a-e709-4737-a46c-6bb31723676c,15048bb4-e9cb-46a4-bc07-b18ac4701a00,c1964398-df43-469a-a0eb-64598c5d74ee,f56842ac-4204-4300-9ed7-3080c6e3ba24,949b7ad9-fd79-4728-b032-9f7a3200eb27,eac67ccc-e3c7-4adc-8257-d70e377f4f81,e82182c2-68c4-4303-a515-ff9fd76d7b4b,9ddd504b-501e-493d-a985-0e7e3fb584e6,b79113cd-d9cc-4b98-ab93-477409e94511",",,,,,,,,,",https://web.fulcrumapp.com/shares/8d464ae2215260fd/photos/view?photos=cce00aec-4345-4cd6-a506-847a19ee64fb%2Ca52e533a-e709-4737-a46c-6bb31723676c%2C15048bb4-e9cb-46a4-bc07-b18ac4701a00%2Cc1964398-df43-469a-a0eb-64598c5d74ee%2Cf56842ac-4204-4300-9ed7-3080c6e3ba24%2C949b7ad9-fd79-4728-b032-9f7a3200eb27%2Ceac67ccc-e3c7-4adc-8257-d70e377f4f81%2Ce82182c2-68c4-4303-a515-ff9fd76d7b4b%2C9ddd504b-501e-493d-a985-0e7e3fb584e6%2Cb79113cd-d9cc-4b98-ab93-477409e94511,"","","",Commercial at street level floor. Housing floor below.  Rio Cibuco. Dueño Hector Carmona. Landslide at 8am next day. ,Building,"","","","","","","","","","",2,1995,0,Commercial,"",Flat,"",Overhang (< 1m),"",RC Slab,"",N/A,"",RC MRF with infill,"",CMU infill,"","",0,"",0,"","Landslide,Wind","",4,3,"",0,0%,30%,30%,"",1,-1,-1,n/a,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",SMP,2a,"Location adjusted
Aerial photos not available
Building characteristics
Assigned building material
Damage levels
","","","","",""
2c1dd208-9d9e-49be-a7ab-fcc0e3a84da4,2019-10-15 23:04:24 UTC,2019-10-15 23:04:24 UTC,joe@fulcrumapp.com,joe@fulcrumapp.com,2019-10-15 23:04:24 UTC,2019-10-15 23:04:24 UTC,1,3,"","",18.277871,-66.27135,POINT (-66.27135 18.277871),2017-11-17,Hurricane,"c06667cf-b1ba-45b0-846e-19be545498b2,73388c73-d890-4b84-bf65-aad9710614b2,292fc290-0c6e-45f0-9c44-3390fc48ea17",",,",https://web.fulcrumapp.com/shares/8d464ae2215260fd/photos/view?photos=c06667cf-b1ba-45b0-846e-19be545498b2%2C73388c73-d890-4b84-bf65-aad9710614b2%2C292fc290-0c6e-45f0-9c44-3390fc48ea17,"","","","",Building,"","","","","","","","","","",2,"",0,Single-Family (Informal),"",Gable,"",Overhang (< 1m),"",Wood rafter and purlins,"",Corrugated metal,"",Load Bearing Masonry (unknown),"",CMU infill,"","",1,"",0,"",Wind,"",3,3,"",0,100%,0%,60%,40%,0,-1,-1,n/a,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",SMP,2a,"Location adjusted
Aerial photo added (before-after)
Building characteristics
Assigned building material
Damage levels 
Damage Rating 
","","","","",""
067b4745-92c5-4280-b195-47723070a57a,2019-10-15 23:04:24 UTC,2019-10-15 23:04:24 UTC,joe@fulcrumapp.com,joe@fulcrumapp.com,2019-10-15 23:04:24 UTC,2019-10-15 23:04:24 UTC,1,1,"","",18.3461988004,-66.3191692159,POINT (-66.3191692159 18.3461988004),2017-11-17,Hurricane,"09541c74-3a1f-4e55-908e-4abfe2efebb1,1b655a63-20ca-46a1-9eb7-611aa97e6fa9,98f8ae32-dbd9-4b15-8041-a77987bef6c6,7d1b4683-2cc5-4b99-afd6-c2a7d6e462d6",",,,",https://web.fulcrumapp.com/shares/8d464ae2215260fd/photos/view?photos=09541c74-3a1f-4e55-908e-4abfe2efebb1%2C1b655a63-20ca-46a1-9eb7-611aa97e6fa9%2C98f8ae32-dbd9-4b15-8041-a77987bef6c6%2C7d1b4683-2cc5-4b99-afd6-c2a7d6e462d6,"","","","",Building,"","","","","","","","","","",1,"",0,Single-Family (Custom),"",Gable,"",Overhang (< 1m),"",Wood rafter and purlins,"",Corrugated metal,"",Wood Frame,"",Wood sheathing,"","",0,"",0,"",Wind,"",1,9,"",1,10%,0%,0%,0%,0,-1,0,n/a,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",SMP,2a,"Location adjusted
Aerial photo added (before-after)
Building characteristics
Assigned building material
Damage levels 
Damage Rating ","","","","",""
087709f5-a742-425d-8430-75083e009bf8,2019-10-15 23:04:25 UTC,2019-10-15 23:04:25 UTC,joe@fulcrumapp.com,joe@fulcrumapp.com,2019-10-15 23:04:25 UTC,2019-10-15 23:04:25 UTC,1,2,"","",18.3465641335,-66.3195702061,POINT (-66.3195702061 18.3465641335),2017-11-17,Hurricane,"afaa077d-f25a-4e46-89f5-d13f55a5f663,91601ca1-59fc-48c7-ad2a-0c0afcd9e416,5bbfeea6-008a-427a-8c42-334abad5c198,25e6f1de-b801-4a16-8a1d-9d3789605b4a,0b54c0a7-8455-4acd-9177-fc2a3e8fcab7",",,,,",https://web.fulcrumapp.com/shares/8d464ae2215260fd/photos/view?photos=afaa077d-f25a-4e46-89f5-d13f55a5f663%2C91601ca1-59fc-48c7-ad2a-0c0afcd9e416%2C5bbfeea6-008a-427a-8c42-334abad5c198%2C25e6f1de-b801-4a16-8a1d-9d3789605b4a%2C0b54c0a7-8455-4acd-9177-fc2a3e8fcab7,"","","","",Building,"","","","","","","","","","",1,"",0,Single-Family (Informal),"",Gable,"",Overhang (< 1m),"",Wood rafter and purlins,"",Corrugated metal,"",Wood Frame,"",Wood sheathing,"","",0,"",0,"",Wind,"",2,9,"",0,30%,0%,20%,0%,0,-1,-1,n/a,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",SMP,2a,"Location adjusted
Aerial photo added (before-after)
Building characteristics
Assigned building material
Damage levels 
Damage Rating ","","","","",""
8fee6979-ef13-4c94-b114-5b4722961b38,2019-10-15 23:04:25 UTC,2019-10-15 23:04:25 UTC,joe@fulcrumapp.com,joe@fulcrumapp.com,2019-10-15 23:04:25 UTC,2019-10-15 23:04:25 UTC,1,2,"","",18.3473081631,-66.3218393549,POINT (-66.3218393549 18.3473081631),2017-11-17,Hurricane,"68557582-c530-4bcc-ad3d-5b197ed35d7d,c5a16c35-5de3-4a24-983e-3f5772c4e24f,c42508c4-d422-4d8c-98ea-600a68990a72,c8ce193d-4aaf-42fd-8fe5-223f09cd7819",",,,",https://web.fulcrumapp.com/shares/8d464ae2215260fd/photos/view?photos=68557582-c530-4bcc-ad3d-5b197ed35d7d%2Cc5a16c35-5de3-4a24-983e-3f5772c4e24f%2Cc42508c4-d422-4d8c-98ea-600a68990a72%2Cc8ce193d-4aaf-42fd-8fe5-223f09cd7819,"","","","",Building,"","","","","","","","","","",2,"",0,Single-Family (Custom),"",Gable,"",Overhang (< 1m),"",Wood rafter and purlins,"",Corrugated metal,"",Wood Frame,"",Wood sheathing,"","",1,"",0,"",Wind,"",2,9,"",1,30%,0%,0%,0%,0,-1,-1,n/a,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",SMP,2a,"Location adjusted
Aerial photo added (before-after)
Building characteristics
Assigned building material
Damage levels 
Damage Rating ","","","","",""
85b2521f-1190-4c4a-8248-41b251d43794,2019-10-15 23:04:26 UTC,2019-10-15 23:04:26 UTC,joe@fulcrumapp.com,joe@fulcrumapp.com,2019-10-15 23:04:26 UTC,2019-10-15 23:04:26 UTC,1,3,"","",18.346555,-66.321279,POINT (-66.321279 18.346555),2017-11-17,Hurricane,"351e0f57-b540-46ac-a28d-7617a10f8382,f39d3b1a-8a9f-4082-9f98-979ca94067e2,8d0ecb54-e919-4fe7-ae6a-04e345af27c5,b160e10b-3a39-4787-b8eb-a214902a70fe,90c3a3f5-b35b-47f8-9121-f071f8165b74",",,,,",https://web.fulcrumapp.com/shares/8d464ae2215260fd/photos/view?photos=351e0f57-b540-46ac-a28d-7617a10f8382%2Cf39d3b1a-8a9f-4082-9f98-979ca94067e2%2C8d0ecb54-e919-4fe7-ae6a-04e345af27c5%2Cb160e10b-3a39-4787-b8eb-a214902a70fe%2C90c3a3f5-b35b-47f8-9121-f071f8165b74,"","","","",Building,"","","","","","","","","","",1,1998,0,Single-Family (Informal),"",Gable,"",Overhang (< 1m),"",Wood rafter and purlins,"",N/A,"",Wood Frame,"",Wood sheathing,"","",1,"",0,"",Wind,"",3,3,"",0,100%,0%,0%,0%,0,-1,-1,n/a,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",SMP,2a,"Location adjusted
Aerial photo added (before-after)
Building characteristics
Assigned building material
Damage levels 
Damage Rating ","","","","",""
